timestep_id,time_s,mpa_pressure_mmhg
2060,0.8240000000000001,14.589376814126421
2080,0.8320000000000001,14.34140435376084
2100,0.8400000000000001,14.367172046413497
2120,0.8480000000000001,15.092480265279521
2140,0.8560000000000001,16.27610302856873
2160,0.864,17.664737359710134
2180,0.872,19.058815280934738
2200,0.88,20.421792150716854
2220,0.888,21.788469560003403
2240,0.896,23.359141026566437
2260,0.904,25.000897091214366
2280,0.912,26.611680348976467
2300,0.92,28.07584773030952
2320,0.928,29.301357782737398
2340,0.936,30.872624933083948
2360,0.9440000000000001,31.325496549644892
2380,0.9520000000000001,32.02511866904344
2400,0.9600000000000001,32.72225917937558
2420,0.9680000000000001,32.89613445534323
2440,0.9760000000000001,32.730918124243544
2460,0.9840000000000001,33.340294566162626
2480,0.992,33.8772520776442
2500,1.0,33.72350035346837
2520,1.008,33.1532694185635
2540,1.016,32.865165044955674
2560,1.024,32.64631645082642
2580,1.032,32.43620795369341
2600,1.04,32.299358287165255
2620,1.048,31.81956558403573
2640,1.056,30.955762970433707
2660,1.064,29.936824108545647
2680,1.072,29.477422580367218
2700,1.08,28.868165390316413
2720,1.088,27.761335153560857
2740,1.096,26.514808961077804
2760,1.104,25.87192021253066
2780,1.112,24.923938798010177
2800,1.12,23.77973522270538
2820,1.1280000000000001,22.104059192913155
2840,1.1360000000000001,20.100144198581884
2860,1.1440000000000001,17.936331617102866
2880,1.1520000000000001,15.669356069344847
2900,1.1600000000000001,13.391062378367963
2920,1.1680000000000001,11.522437145120254
2940,1.1760000000000002,10.09049152891187
2960,1.1840000000000002,8.910714686744829
2980,1.192,7.758355491901075
3000,1.2,7.021605851922345
3020,1.208,5.324918731287431
3040,1.216,4.786998169377918
3060,1.224,4.834664867226368
3080,1.232,4.18694430715298
3100,1.24,3.128718320028455
3120,1.248,2.9496519503612673
3140,1.256,2.594060813117638
3160,1.264,3.6831446572113857
3180,1.272,3.7504801163792787
3200,1.28,3.8969349418777703
3220,1.288,4.172580922882038
3240,1.296,3.9194046430986687
3260,1.304,3.269362256808103
3280,1.312,3.2389302123225114
3300,1.32,3.577720800935941
3320,1.328,2.5988204967077295
3340,1.336,1.9582435499294741
3360,1.344,2.423987168433658
3380,1.352,2.554816356860989
3400,1.36,2.5094900827547475
3420,1.368,2.2328568410439273
3440,1.3760000000000001,2.035541937503492
3460,1.3840000000000001,1.6490443688503542
3480,1.3920000000000001,2.4199111049671798
3500,1.4000000000000001,2.7389471063624353
3520,1.4080000000000001,2.648223826577612
3540,1.4160000000000001,3.158953490528187
3560,1.4240000000000002,3.2044743232894812
3580,1.4320000000000002,2.433889730988225
3600,1.4400000000000002,1.9173396966233485
3620,1.4480000000000002,3.0558565102716697
3640,1.456,3.4561454841406816
3660,1.464,3.4838233614035543
3680,1.472,3.925566300511583
3700,1.48,4.204265429204022
3720,1.488,4.105801606964575
3740,1.496,3.9182299656278823
3760,1.504,3.77508998918215
3780,1.512,3.7027994119072036
3800,1.52,3.7032679514733466
3820,1.528,3.7493007643029497
